"language","mu","med","sdev"
"Hungarian",0.39,0.46,1.36
"Greek",0.28,0.43,0.6
"Romanian",0.33,0.43,0.73
"Urdu",0.44,0.43,1.56
"Ancient Greek",0.35,0.43,0.83
"Basque",0.19,0.42,0.7
"Croatian",0.28,0.3,0.46
"Chinese",0.13,0.2,1.68
"German",0.11,0.2,0.97
"Serbian",0.2,0.18,0.47
"Afrikaans",0.13,0.13,1.08
"Persian",0.06,0.1,1.54
"Slovenian",0.16,0.07,0.49
"Old Church Slavonic",-0.03,0.03,1.15
"Indonesian",-0.08,0.02,1.44
"Gothic",-0.05,0.01,1
"Hebrew",0.11,0,0.69
"Turkish",0.08,-0.01,1.4
"Slovak",-0.3,-0.05,0.89
"Latin",0.09,-0.06,0.92
"Polish",-0.32,-0.06,1.09
"Czech",0.02,-0.07,0.66
"Russian",0.09,-0.07,0.6
"Hindi",0.22,-0.07,1.19
"Danish",-0.06,-0.09,0.34
"Latvian",0.03,-0.1,0.66
"Bulgarian",-0.19,-0.1,0.57
"Catalan",0.35,-0.12,0.93
"Arabic",0.29,-0.12,1.68
"Ukrainian",0.05,-0.12,0.54
"Uyghur",0.51,-0.13,2.29
"Swedish",-0.14,-0.16,0.39
"Spanish",0.18,-0.21,0.75
"Portuguese",0.02,-0.22,0.61
"Norwegian",-0.22,-0.22,0.42
"French",-0.12,-0.25,0.69
"English",-0.22,-0.25,0.59
"Italian",-0.1,-0.27,0.7
"Japanese",-0.42,-0.31,1.27
"Estonian",-0.08,-0.36,0.82
"Finnish",-0.14,-0.46,1.06
"Dutch",-0.44,-0.53,0.9
"Korean",-0.29,-0.64,1.73
"Vietnamese",-0.48,-0.65,1.2
